,Star_name
0,Sun
1,Sirius
2,Canopus
3,Alpha Centauri
4,Arcturus
5,Vega
6,Capella
7,Rigel
8,Procyon
9,Betelgeuse
10,Achernar
11,Hadar
12,Altair
13,Acrux
14,Aldebaran
15,Antares
16,Spica
17,Pollux
18,Fomalhaut
19,Deneb
20,Mimosa
21,Regulus
22,Adhara
23,Shaula
24,Castor
25,Gacrux
26,Bellatrix
27,Elnath
28,Miaplacidus
29,Alnilam
30,Gamma Velorum
31,Alnair
32,Alioth
33,Alnitak
34,Dubhe
35,Mirfak
36,Wezen
37,Sargas
38,Kaus Australis
39,Avior
40,Alkaid
41,Menkalinan
42,Atria
43,Alhena
44,Peacock
45,Alsephina[2]
46,Mirzam
47,Polaris
48,Alphard
49,Mintaka
50,Scheat
51,Almaaz
52,Rasalgethi
53,Tau Ceti
54,Delta Pavonis
55,Ran
56,V382 Carinae
57,Eta Carinae
58,Delta Cephei
59,Mu Cephei
60,Titawin
61,Rho Cassiopeiae
62,P Cygni
63,La Superba
64,VV Cephei
65,61 Cygni
66,R Doradus
67,Polaris Australis
68,R Coronae Borealis
69,54 Piscium
70,Mira
71,RW Cephei
72,Lacaille 8760
73,V838 Monocerotis
74,HD 140283
75,II Pegasi
76,VY Canis Majoris
77,Pistol Star
78,S Doradus
79,UY Scuti
80,Barnard's Star
81,Luhman 16
82,Proxima Centauri
83,KIC 8462852
84,R136a1
85,Melnick 42
86,WR 102
87,VFTS 352
88,YBP 1194
89,Gliese 1214
90,NML Cygni
91,VB 10
92,WOH G64
93,TRAPPIST-1
94,2MASS J0523-1403
95,WISE 0855âˆ’0714
96,Icarus
